title,link,description,pubDate,creator
"Current Climate Pledges Aren't Enough to Stop Severe Warming",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/m-3yxFOcXao/,,"2017-10-31 19:36:29","Michael Greshko"
"Where There Is Gravity, Let There Be Light",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/kxyZsOWrY-0/,,"2017-10-31 18:30:00",
"How Baby Bats Learn to Speak in Dialects",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/kHARSo7ljaM/,,"2017-10-31 18:00:00","Jason Bittel"
"Ghostly Image of Scottish Queen Found Beneath Painting",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/lWOVrVHb6YI/,,"2017-10-31 16:55:32","Sarah Gibbens"
"'Golden Wonder' Rediscovered After 42 Years",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/uU4Sid_oZMg/,,"2017-10-31 15:54:20","Jason Bittel"
"Secret Soviet Posters Demystify Map Symbols",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/j0F3H59sqUU/,,"2017-10-31 15:51:02","Greg Miller"
"Ancient Winged Terror Was One of the Largest Animals to Fly",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/RYMbj-0G95w/,,"2017-10-31 13:00:00","John Pickrell"
"Why Dozens of Octopuses Marched Out of the Sea",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/AfLND4OPhn4/,,"2017-10-30 21:33:00","Sarah Gibbens"
"Recent Hurricanes Pushed Rare Island Species Closer to the Brink",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/BPO3EqnyB5E/,,"2017-10-30 04:01:28","Justin Nobel"
"Scott Kelly Spent a Year in Space—Find Out How Hard It Was",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/_1kCquBICsI/,,"2017-10-28 04:01:00","Simon Worrall"
"6 Ghostly Animals Just in Time for Halloween",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/_Axvte40Z1c/,,"2017-10-28 04:00:00","Liz Langley"
